Base Station,,,,,,,
Time (s),Easting (m),Northing (m),Elevation (m),,"E, Diff.from Avg.","N, Diff.from Avg.","Elev, Diff.from Avg."
1,668249.883,3034564.756,1.241,,0.431315999943763,0.143191997893155,0.258684
2,668252.519,3034565.855,1.982,,2.20468399999663,1.24219199782237,0.999684
3,668252.56,3034566.77,0.825,,2.24568400008138,2.15719199785963,0.157316
4,668250.223,3034565.192,1.719,,0.091315999976359,0.579191997647285,0.736684
5,668249.937,3034563.278,1.618,,0.377315999940038,1.33480800222605,0.635684
6,668250.286,3034561.041,1.11,,0.028316000010818,3.57180800195783,0.127684
7,668249.662,3034562.615,0.653,,0.652315999963321,1.99780800193548,0.329316
8,668250.645,3034564.547,0.576,,0.33068400004413,0.065808002371341,0.406316
9,668251.644,3034563.981,1.95,,1.32968399999663,0.631808002013713,0.967684
10,668250.816,3034568.132,1.351,,0.501684000017121,3.51919199805707,0.368684
11,668249.504,3034564.496,0.934,,0.810316000017338,0.116808002348989,0.048316
12,668251.001,3034565.815,1.354,,0.686684000073001,1.20219199778512,0.371684
13,668251.907,3034563.424,0.333,,1.59268400003202,1.18880800204352,0.649316
14,668250.6,3034564.709,0.801,,0.28568400000222,0.096191997639835,0.181316
15,668251.236,3034564.216,1.303,,0.921684000059031,0.396808002144098,0.320684
16,668251.795,3034566.889,1.71,,1.48068400006741,2.27619199780747,0.727684
17,668249.127,3034566.907,0.706,,1.18731599999592,2.29419199796394,0.276316
18,668249.034,3034564.249,0.314,,1.2803159999894,0.363808002322912,0.668316
19,668252.626,3034565.526,1.248,,2.311684000073,0.913191997911781,0.265684
20,668248.284,3034566.016,0.719,,2.0303159999894,1.40319199766964,0.263316
21,668249.894,3034564.733,1.7,,0.420316000003368,0.120191997848451,0.717684
22,668248.451,3034566.083,1.318,,1.86331599997357,1.47019199794158,0.335684
23,668249.936,3034564.808,1.261,,0.378315999987535,0.195191998034716,0.278684
24,668250.838,3034563.207,0.554,,0.523684000014327,1.40580800222233,0.428316
25,668250.296,3034564.569,0.644,,0.018316000001505,0.043808002024889,0.338316
26,668251.291,3034565.206,0.101,,0.976683999993838,0.593191997613758,0.881316
27,668249.315,3034562.802,1.383,,0.999316000030376,1.81080800201744,0.400684
28,668249.723,3034564.539,0.079,,0.591315999976359,0.073808002285659,0.903316
29,668248.609,3034562.5,1.022,,1.70531599991955,2.112808002159,0.039684
30,668252.242,3034565.613,1.462,,1.92768399999477,1.00019199773669,0.479684
31,668252.873,3034567.007,0.812,,2.55868400004692,2.39419199805707,0.170316
32,668248.751,3034562.065,1.976,,1.563315999927,2.54780800221488,0.993684
33,668249.961,3034564.156,1.03,,0.353315999964252,0.456808002199978,0.047684
34,668251.509,3034566.153,1.325,,1.19468399998732,1.54019199777395,0.342684
35,668249.462,3034563.94,1.904,,0.852315999916755,0.672808002214879,0.921684
36,668251.665,3034564.419,1.618,,1.35068400006276,0.193808001931757,0.635684
37,668250.253,3034564.538,0.702,,0.06131599994842,0.074808001983911,0.280316
